match_id,date,map,map_number,team_A,team_B,winner,team_A_rank,team_B_rank,rank_diff,abs_rank_diff,picked_by_is_A,is_decider,map_winrate_A,map_winrate_B,recent_form_A,recent_form_B,winner_is_A,split_row,split_match
85860,2025-04-11,Inferno,4,GamerLegion,Falcons,Falcons,16,5,11,11,1,0,0.0,0.5,0.4,0.6,0,train,train
85860,2025-04-11,Train,3,GamerLegion,Falcons,GamerLegion,16,5,11,11,0,0,0.5,0.6666666666666666,0.3333333333333333,0.7,1,train,train
85862,2025-04-11,Nuke,7,Complexity,Aurora,Complexity,51,6,45,45,0,1,0.5,0.8,0.7,0.6,1,val,val
85863,2025-04-11,Dust2,3,G2,Virtus.pro,G2,15,18,-3,3,0,0,1.0,1.0,0.7,0.6,1,train,train
85862,2025-04-11,Anubis,3,Complexity,Aurora,Aurora,51,6,45,45,0,0,1.0,0.8,0.7,0.5,0,train,val
85861,2025-04-11,Anubis,3,3DMAX,FaZe,FaZe,8,12,-4,4,1,0,0.5,0.5,0.6666666666666666,0.7142857142857143,0,train,val
86691,2025-04-11,Anubis,4,ECSTATIC,Sashi,ECSTATIC,31,52,-21,21,0,0,0.0,0.5,0.5,0.0,1,train,test
86691,2025-04-11,Train,3,ECSTATIC,Sashi,ECSTATIC,31,52,-21,21,1,0,1.0,0.0,0.6,0.0,1,train,test
85861,2025-04-11,Nuke,4,3DMAX,FaZe,FaZe,8,12,-4,4,0,0,0.5,0.5,0.6,0.75,0,train,val
85865,2025-04-12,Dust2,4,Complexity,G2,G2,51,15,36,36,0,0,0.3333333333333333,1.0,0.6,0.8,0,val,train
85864,2025-04-12,Ancient,4,Falcons,FaZe,FaZe,5,12,-7,7,1,0,1.0,0.6666666666666666,0.7,0.7777777777777778,0,train,train
85864,2025-04-12,Mirage,7,Falcons,FaZe,Falcons,5,12,-7,7,0,1,0.0,0.5,0.6,0.8,1,val,train
85865,2025-04-12,Anubis,3,Complexity,G2,G2,51,15,36,36,1,0,0.6666666666666666,0.0,0.5,0.9,0,train,train
85864,2025-04-12,Nuke,3,Falcons,FaZe,Falcons,5,12,-7,7,0,0,0.0,1.0,0.6,0.8,1,test,train
85867,2025-04-13,Nuke,4,Falcons,G2,Falcons,5,15,-10,10,1,0,0.5,0.0,0.7,0.9,1,train,val
85866,2025-04-13,Inferno,4,FaZe,Complexity,FaZe,12,51,-39,39,0,0,0.5,1.0,0.7,0.4,1,val,train
85866,2025-04-13,Dust2,3,FaZe,Complexity,FaZe,12,51,-39,39,1,0,1.0,0.25,0.8,0.3,1,train,train
85867,2025-04-13,Ancient,5,Falcons,G2,Falcons,5,15,-10,10,0,0,0.6666666666666666,1.0,0.7,0.8,1,train,val
85867,2025-04-13,Mirage,3,Falcons,G2,Falcons,5,15,-10,10,0,0,0.5,1.0,0.7,0.7,1,train,val
86884,2025-04-14,Nuke,7,Astralis,OG,OG,11,30,-19,19,0,1,0.5,0.5,0.3,0.5,0,val,train
86889,2025-04-14,Nuke,7,OG,9 Pandas,OG,30,51,-21,21,0,1,1.0,0.5,1.0,0.0,1,val,train
86881,2025-04-14,Train,7,SAW,BetBoom,BetBoom,22,20,2,2,0,1,0.5,0.5,0.5,0.5,0,train,train
86883,2025-04-14,Mirage,7,GamerLegion,Nemiga,Nemiga,16,41,-25,25,0,1,0.5,0.5,0.42857142857142855,0.7142857142857143,0,val,train
86890,2025-04-14,Mirage,7,Astralis,PARIVISION,Astralis,11,35,-24,24,0,1,0.0,0.5,0.2,0.5,1,train,train
86878,2025-04-14,Inferno,7,B8,Metizport,Metizport,23,78,-55,55,0,1,1.0,0.5,0.6666666666666666,0.4444444444444444,0,train,train
86701,2025-04-14,Dust2,3,Monte,ECSTATIC,ECSTATIC,44,31,13,13,1,0,0.5,0.5,0.0,0.6666666666666666,0,val,train
86885,2025-04-14,Ancient,7,HEROIC,ENCE,HEROIC,14,29,-15,15,0,1,0.5,0.5,0.5,0.5,1,train,train
86887,2025-04-14,Mirage,7,BC.Game,Metizport,Metizport,51,78,-27,27,0,1,0.5,0.6666666666666666,0.5,0.5,0,train,train
86701,2025-04-14,Train,4,Monte,ECSTATIC,ECSTATIC,44,31,13,13,0,0,0.5,1.0,0.0,0.7142857142857143,0,train,train
86879,2025-04-14,Ancient,7,HEROIC,PARIVISION,HEROIC,14,35,-21,21,0,1,1.0,0.5,1.0,0.0,1,train,val
86899,2025-04-15,Ancient,4,OG,Metizport,Metizport,30,78,-48,48,1,0,0.5,0.0,1.0,0.5,0,val,train
86893,2025-04-15,Mirage,4,B8,PARIVISION,B8,23,35,-12,12,1,0,1.0,0.0,0.5,0.0,1,val,train
